Nome completo;CPF;Data de nascimento;Departamento;E-mail corporativo
Gustavo Teixeira;090.974.395-90;07/11/1982;Pessoas & DHO;gustavo.teixeira@bcpsecurities.com
Sofia Lima;104.709.521-13;24/06/1986;Compliance & Risco;sofia.lima@bcpsecurities.com
Marcos Gomes;285.884.247-70;28/12/1986;Operações;marcos.gomes@bcpsecurities.com
Henrique Nunes;123.685.160-93;04/09/1984;Compliance & Risco;henrique.nunes@bcpsecurities.com
Enzo Barbosa;965.137.098-06;08/10/1988;Diretoria;enzo.barbosa@bcpsecurities.com
Eduarda Nunes;461.200.471-07;18/04/1974;Tecnologia;eduarda.nunes@bcpsecurities.com
Fernanda Nunes;586.926.179-11;02/05/1994;Diretoria;fernanda.nunes@bcpsecurities.com
Enzo Martins;773.515.850-59;07/05/1993;Trading & Mercados;enzo.martins@bcpsecurities.com
Leandro Rodrigues;390.053.293-19;07/09/1972;Pessoas & DHO;leandro.rodrigues@bcpsecurities.com
Otávio Rocha;529.042.284-62;22/02/1979;Trading & Mercados;otavio.rocha@bcpsecurities.com
Isabela Silva;539.502.402-68;04/09/1994;Diretoria;isabela.silva@bcpsecurities.com
Eduarda Moreira;758.917.839-08;26/12/1970;Diretoria;eduarda.moreira@bcpsecurities.com
Paulo Cardoso;700.766.177-77;11/02/1972;Pessoas & DHO;paulo.cardoso@bcpsecurities.com
Rafael Costa;249.985.698-05;17/08/1986;Pessoas & DHO;rafael.costa@bcpsecurities.com
Igor Almeida;183.673.657-63;24/07/1993;Trading & Mercados;igor.almeida@bcpsecurities.com
Beatriz Cavalcanti;545.271.111-24;24/02/1995;Diretoria;beatriz.cavalcanti@bcpsecurities.com
Enzo Lima;809.885.165-60;02/12/1995;Operações;enzo.lima@bcpsecurities.com
Yara Cardoso;519.832.731-04;12/09/1990;Trading & Mercados;yara.cardoso@bcpsecurities.com
Thiago Rocha;689.980.940-02;23/05/1979;Operações;thiago.rocha@bcpsecurities.com
Caio Castro;022.961.201-64;13/04/2001;Compliance & Risco;caio.castro@bcpsecurities.com
Leandro Dias;254.599.102-34;02/10/1978;Diretoria;leandro.dias@bcpsecurities.com
Nicolas Monteiro;643.815.614-06;22/09/1999;Operações;nicolas.monteiro@bcpsecurities.com
Camila Rocha;690.034.324-49;04/06/1986;Trading & Mercados;camila.rocha@bcpsecurities.com
Nicolas Cavalcanti;226.838.851-48;02/12/1993;Compliance & Risco;nicolas.cavalcanti@bcpsecurities.com
Bruno Nunes;159.696.641-62;11/01/1993;Tecnologia;bruno.nunes@bcpsecurities.com
André Nunes;516.136.968-09;28/07/1973;Operações;andre.nunes@bcpsecurities.com
Caio Rocha;521.818.835-21;27/12/1990;Diretoria;caio.rocha@bcpsecurities.com
Rafael Ribeiro;124.329.212-16;25/08/1999;Pessoas & DHO;rafael.ribeiro@bcpsecurities.com
Vinícius Monteiro;995.527.177-95;19/05/1987;Trading & Mercados;vinicius.monteiro@bcpsecurities.com
Daniela Mendes;147.700.541-22;20/10/1973;Pessoas & DHO;daniela.mendes@bcpsecurities.com
Vinícius Oliveira;793.597.820-41;26/02/1996;Operações;vinicius.oliveira@bcpsecurities.com
Felipe Mendes;203.778.892-45;10/06/1991;Compliance & Risco;felipe.mendes@bcpsecurities.com
Helena Dias;905.151.864-14;28/12/1984;Diretoria;helena.dias@bcpsecurities.com
Yara Araújo;519.254.629-00;18/05/1973;Compliance & Risco;yara.araujo@bcpsecurities.com
Caio Lima;816.850.542-50;25/06/1981;Compliance & Risco;caio.lima@bcpsecurities.com
Natália Rocha;221.418.880-00;05/10/1989;Pessoas & DHO;natalia.rocha@bcpsecurities.com
Fernanda Araújo;229.270.653-90;10/10/1996;Diretoria;fernanda.araujo@bcpsecurities.com
Juliana Rocha;834.735.977-67;17/07/1986;Pessoas & DHO;juliana.rocha@bcpsecurities.com
Helena Fernandes;392.407.581-60;10/02/2001;Trading & Mercados;helena.fernandes@bcpsecurities.com
Larissa Teixeira;782.613.750-05;13/01/1994;Pessoas & DHO;larissa.teixeira@bcpsecurities.com
Enzo Ribeiro;615.305.152-97;10/01/1976;Compliance & Risco;enzo.ribeiro@bcpsecurities.com
Juliana Silva;104.328.986-03;08/05/1975;Operações;juliana.silva@bcpsecurities.com
Henrique Pereira;369.711.798-03;17/11/1969;Pessoas & DHO;henrique.pereira@bcpsecurities.com
Rodrigo Araújo;460.953.962-47;12/09/1973;Trading & Mercados;rodrigo.araujo@bcpsecurities.com
Paulo Mendes;880.670.654-38;26/06/1969;Trading & Mercados;paulo.mendes@bcpsecurities.com
Daniela Ribeiro;195.205.852-06;16/12/1997;Diretoria;daniela.ribeiro@bcpsecurities.com
Marcos Lima;170.430.305-28;13/09/1987;Pessoas & DHO;marcos.lima@bcpsecurities.com
Mariana Barbosa;034.505.415-60;24/07/1995;Compliance & Risco;mariana.barbosa@bcpsecurities.com
Fernanda Dias;277.584.161-95;27/10/1995;Tecnologia;fernanda.dias@bcpsecurities.com
Renata Moraes;511.544.796-76;15/12/1978;Operações;renata.moraes@bcpsecurities.com
Juliana Oliveira;596.401.658-83;05/01/1978;Pessoas & DHO;juliana.oliveira@bcpsecurities.com
Rodrigo Campos;569.092.755-43;19/02/1996;Tecnologia;rodrigo.campos@bcpsecurities.com
Gustavo Correia;431.027.868-04;25/05/1975;Operações;gustavo.correia@bcpsecurities.com
Juliana Martins;947.312.172-53;26/02/1996;Diretoria;juliana.martins@bcpsecurities.com
Beatriz Castro;188.442.258-67;07/02/1982;Tecnologia;beatriz.castro@bcpsecurities.com
Rodrigo Ramos;058.957.829-49;10/02/1973;Compliance & Risco;rodrigo.ramos@bcpsecurities.com
Helena Azevedo;912.517.785-00;21/09/1976;Pessoas & DHO;helena.azevedo@bcpsecurities.com
Diego Nascimento;824.225.358-79;09/02/1986;Tecnologia;diego.nascimento@bcpsecurities.com
Samuel Teixeira;249.818.299-30;22/03/1977;Pessoas & DHO;samuel.teixeira@bcpsecurities.com
Yara Dias;900.109.439-27;21/10/1994;Trading & Mercados;yara.dias@bcpsecurities.com
Wagner Moreira;364.710.276-80;07/08/1998;Operações;wagner.moreira@bcpsecurities.com
Beatriz Correia;562.588.153-75;09/02/1997;Compliance & Risco;beatriz.correia@bcpsecurities.com
Gabriela Pereira;469.632.595-42;16/03/1980;Pessoas & DHO;gabriela.pereira@bcpsecurities.com
Leandro Ramos;470.168.733-23;02/01/1990;Operações;leandro.ramos@bcpsecurities.com
Nicolas Moreira;480.162.456-17;13/01/1991;Trading & Mercados;nicolas.moreira@bcpsecurities.com
Enzo Moraes;168.784.991-94;13/02/1976;Operações;enzo.moraes@bcpsecurities.com
Caio Campos;239.868.000-26;11/12/1976;Compliance & Risco;caio.campos@bcpsecurities.com
Paulo Nunes;298.259.526-52;11/10/1987;Pessoas & DHO;paulo.nunes@bcpsecurities.com
Olívia Ramos;947.055.169-90;28/12/1987;Diretoria;olivia.ramos@bcpsecurities.com
Bruno Moreira;499.309.728-03;27/03/1992;Diretoria;bruno.moreira@bcpsecurities.com
Rodrigo Oliveira;913.075.626-04;17/07/1981;Pessoas & DHO;rodrigo.oliveira@bcpsecurities.com
Mariana Pereira;283.857.865-03;18/08/1979;Operações;mariana.pereira@bcpsecurities.com
Renata Castro;497.334.843-00;23/05/1987;Tecnologia;renata.castro@bcpsecurities.com
Nicolas Correia;758.441.986-03;25/06/1993;Tecnologia;nicolas.correia@bcpsecurities.com
Vanessa Oliveira;415.747.338-85;23/09/1985;Operações;vanessa.oliveira@bcpsecurities.com
Isabela Almeida;993.308.330-98;11/07/1974;Diretoria;isabela.almeida@bcpsecurities.com
Mariana Almeida;208.267.734-60;21/05/1988;Trading & Mercados;mariana.almeida@bcpsecurities.com
